id,mass,year,lat,long
1,21,1880,50.775,6.08333
2,720,1951,56.18333,10.23333
6,107000,1952,54.21667,-113
10,1914,1976,16.88333,-99.9
370,780,1902,-33.16667,-64.95
379,4239,1919,32.1,71.8
390,910,1949,44.83333,95.16667
392,30000,1814,44.21667,0.61667
398,1620,1930,-31.6,-65.23333
417,1440,1920,-30.86667,-64.55
423,1000,1974,16.39806,-9.57028
424,24000,1925,19.08333,8.38333
426,779,1949,29.51667,35.05
427,1800,1838,29.71667,77.95
432,3000,1959,8.91667,8.43333
433,50000,1981,39.91667,42.81667
446,160,1957,24.41667,39.51667
447,700,2001,13.66033,28.96
448,6000,1806,44.11667,4.08333
453,2000,1766,44.65,11.01667
454,625,1949,2,22.66667
458,252,2002,45.82133,6.01533
461,700,1835,51.78333,-1.78333
462,3200,1873,36.23333,37.13333
463,908,1860,44.88333,8.75
465,9251,1900,50.95,31.81667
466,228000,1883,45.26667,10.15
2276,32000,1899,42.53333,-85.88333
2278,2000000,1969,26.96667,-105.31667
48915,3950,2008,20.74575,32.41275
2284,6000,1977,35.27333,44.21556
2290,6400,1895,27.66667,78.25
2294,2700,1880,26.58333,85.56667
2295,3200,1898,44.61667,-70.75
2296,600,1969,48.7,37.5
2298,17900,1939,20.88333,76.86667
2302,1500,1869,-22.96667,-44.31667
2304,6500,1942,9.53333,39.71667
2305,2500,1971,25.15,105.18333
2313,320,1984,40.81056,140.78556
2318,15000,1914,53.58333,-2.71667
2320,3200,1803,43.86667,5.38333
2325,810,1954,-33,-66
2329,5070,1932,38.5,-94.3
2340,7450,1950,-31.41667,-60.66667
2345,41,1805,42.45,9.03333
48954,9500,2009,31.805,-97.01
2346,1300,1923,52.05,0.3
2353,2000,1886,43.03333,12.55
4883,1280,1920,25.25417,80.625
4884,94.2,1896,20.06667,-103.66667
4885,265,1933,34.75,-87
4888,1384.2,1945,34.31667,-96.15
4893,800,1836,44.38333,5.16667
4899,50000,1865,36.16667,3.66667
4900,2000,1842,44.33333,3.23333
4903,50000,1858,43.08333,0.58333
4905,9330,1952,-21.46028,-49.95083
4906,1230,1908,46,13.5
4907,146,1855,25,-103.5
4910,134,1968,2.71667,32.83333
4913,2830,1938,36.8,-108
4917,18000,1814,48.6,38
4922,10322,1934,28.48333,78.5
4925,3700,1929,35.96667,-82.48333
4926,345,1922,34.5,-88.66667
4928,1000,1907,5.38333,16.38333
4934,16700,1993,16.66667,101.18333
4935,11500,1871,-6.91667,107.6
4936,15000,1892,27.7,76.33333
4937,14,1913,30.4,78.2
4938,629,1933,-6.33333,106
4942,6400,1790,43.95,-0.05
4946,3200,1842,42.38333,-2.5
4947,23.2,1904,52.73333,84.08333
4948,17,1886,52,9.1
4949,4500,1910,31.61667,76.8
4954,44000,1965,52.56528,-1.33972
44876,29560,2006,15.78333,-5.9
4957,15500,1994,52.03333,20.93583
4974,21000,1892,45.41667,-98.31667
4975,86000,1902,38.25,-83.75
56133,2900,2012,40.66813,-117.18913
4976,1557,1989,11.08333,-0.18333
4977,611,1916,36.75,-93.5
4984,16000,1929,39.8,-101.2
4986,14000,1893,51.16667,-117.33333
4993,794,1949,53.01667,-4.1
5005,375,1961,33.6,-96.46667
5011,3700,1798,25.36667,82.91667
30443,25000,2004,32.25,-8.15
5018,19000,2001,32.86667,10.8
5021,1770.5,1938,39.08333,-89.15
5023,3880,1943,-26.16667,28.41667
5024,45000,2002,30,-7
5026,2840,1949,45.95,-67.55
48975,270,2008,-31.91,-58.32833
5028,18000,1924,11.65,-3.65
5029,1440,1811,41.68333,-3.8
47355,960,2004,40.30583,-105.02325
5032,13.9,1859,42.53333,-73.83333
5034,2000,1859,43.21667,-0.23333
5035,1100,1921,33.88333,35.5
5037,18,1877,20.88333,74.83333
36591,678,2002,26.50833,73.11528
5039,100,1893,20.83333,71.46667
5040,1047,1940,22.68333,90.65
5041,2500,1905,22.08333,86.9
5042,4000,1827,53.1,23.2
5043,1900,1887,50.13333,27.16667
5045,25000,1999,12.45,-0.08333
5051,488.1,1984,-33.15639,115.67639
5056,560,1923,13.76667,5.3
5059,6000,1843,34.16667,-80.28333
5060,1039,1895,25.38333,82.6
5063,1850,1796,49.78333,30.16667
5064,330000,1899,60.4,25.8
5065,705,1941,40.91667,-78.08333
5068,2381,1906,36.83333,-97.33333
5071,5100,1909,31.83333,-98.83333
5072,470,1833,49.36667,16.63333
5076,67.8,1938,40.48,-89.00417
5090,7500,1977,33.83333,115.83333
5093,56,1804,23,-102
5097,8800,1962,12.5,0.7
5098,256000,1916,44.55,131.63333
5110,1676,1808,44.86667,10.05
5111,8600,1894,21.95,78.03333
5112,1342,1930,54.23333,52.48333
5113,7000,1852,48.15,24.28333
5114,500,1812,55.46667,35.86667
5117,614,1823,51.33333,33.88333
57168,190,2003,17.71067,-11.3715
57167,3599,2011,17.17493,-11.34133
5121,5460,1969,54.56667,-6.33333
5128,762,1886,40.5,-80.08333
5133,39000,1847,50.6,16.3
5134,1500,1956,50.66694,8.18361
5135,7250,1855,53.4,9.1
5140,219,1933,52.13333,59.31667
5156,303000,1960,53.9,-112.88333
30448,5300,2001,39.77978,64.60035
48653,324,2007,-31.35,129.19
5165,357,1942,10.01667,9.58333
5169,120000,1919,5,48
5175,1504,1990,37.62194,-82.23722
5177,25000,1946,40.2,29.23333
5178,5000,1863,46.45,25.78333
5181,1500,1852,26.78333,82.83333
5183,29000,1861,27.08333,84.08333
48654,41000,2008,52.996,-109.84817
5185,25000,1870,37.98333,-1.16667
5186,48500,1886,35.5,-93.5
5187,212,1919,43.83889,20.33333
45976,478,2007,3.405,-76.51
5200,2400,1916,11.75,122.33333
5249,23680,1991,-7.03333,-40.16667
5250,4000,1964,39.8,26.6
5251,945,1861,41.25,1.66667
5252,34000,1866,43.38333,-5.15
5253,1400,1973,38.47028,-105.24139
5260,2300,1846,37.26667,-89.58333
5264,750,1934,-30.88333,-64.55
45817,342,2007,-16.66444,-69.04389
5265,8,1902,38.5,27
5291,7300,1874,36.08333,-78.06667
5293,94,1848,44.38333,-68.75
5295,15000,1583,39.8,16.2
5296,1360,1810,36.5,-79.25
5306,1025,1988,26.46667,-105.23333
5307,45.6,1956,43.2,-96.91667
5308,6460,1840,45.08333,8.3
5313,3700,1998,28.53333,109.31667
5314,0.5,1814,25.36667,81.66667
5315,8200,1907,25.85,83.48333
5316,18300,1933,-30.78333,-58.05
5320,8800,1838,20.26667,76.01667
5321,1100,1885,27.28333,79.05
5322,1810,1977,29.08333,111.75
5325,31500,1812,46.68333,1.05
5328,4300,1835,36.16667,-87.33333
5329,27000,1810,47.93333,1.56667
5330,12000,1834,29.48333,75.5
5331,4000,1815,47.71667,5.36667
5332,30000,1841,47.93333,2.91667
5334,2945,1925,41.93333,-7.46667
5338,2936,1988,-3.66667,32.5
57165,100000,2013,54.81667,61.11667
